Popularity,Market Category,Market Category,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
1385,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
3105,"Hatchback,Factory Tuner,Luxury,Performance","Hatchback,Factory Tuner,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3105,"Hatchback,Factory Tuner,Luxury,Performance","Hatchback,Factory Tuner,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
238,"Exotic,Luxury,High-Performance","Exotic,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Hatchback,Hybrid","Hatchback,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
2031,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2031,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2031,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1013,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
2202,"Crossover,Hatchback","Crossover,Hatchback",,,,,,,,,,,,,,,,,,,,,,,,
640,"Crossover,Hybrid","Crossover,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,"Crossover,Hybrid","Crossover,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
640,Crossover,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
5657,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
5657,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
5657,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,Diesel,Diesel,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
1385,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1385,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
454,"Hatchback,Luxury,Hybrid","Hatchback,Luxury,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
454,"Hatchback,Luxury,Hybrid","Hatchback,Luxury,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
454,"Hatchback,Luxury,Hybrid","Hatchback,Luxury,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,Performance","Flex Fuel,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,Performance","Flex Fuel,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,High-Performance","Flex Fuel,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,Performance","Flex Fuel,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,High-Performance","Flex Fuel,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Flex Fuel,Luxury,High-Performance","Flex Fuel,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
1624,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
